CONCEPTICON_ID,CONCEPTICON_GLOSS_x,CHINESE,CHINESE_RT_MEAN,CHINESE_RT_ZSCORE,CHINESE_STROKE,LINE_IN_SOURCE_x,CONCEPTICON_GLOSS_y,ENGLISH,ENGLISH_VALENCE_MEAN,ENGLISH_AROUSAL_MEAN,ENGLISH_DOMINANCE_MEAN,LINE_IN_SOURCE_y
10,FIREWOOD,柴火,741.2162500000002,-0.2957471658049295,14.0,7792,FIREWOOD,firewood,0.52,0.348,0.263,6736
1001,BLACKSMITH,铁匠,678.2180952380951,-0.5164593706792188,16.0,8258,BLACKSMITH,blacksmith,0.48,0.531,0.702,1785
1002,STATUE,雕像,704.7509999999997,-0.4642740795610031,29.0,10389,STATUE,statue,0.542,0.153,0.57,16845
1003,PERMIT,允许,654.6355,-0.6635635370928175,10.0,2482,PERMIT,allow,0.698,0.429,0.538,518
1004,MUSCLE,肌肉,669.4305000000002,-0.5588413987174683,12.0,4721,MUSCLE,muscle,0.359,0.49,0.645,11503
1008,BULL,公牛,705.8402564102563,-0.5111838792798902,8.0,2494,BULL,bull,0.521,0.64,0.644,2266
101,BOAST,吹牛,693.1821951219513,-0.5618653901990617,11.0,5019,BOAST,boast,0.52,0.586,0.569,1906
1011,BRIDGE,桥,666.7175000000002,-0.6636558419548709,10.0,365,BRIDGE,bridge,0.625,0.324,0.519,2150
1017,APPEARANCE,样子,767.1502500000001,-0.2149736183023112,13.0,7807,APPEARANCE,appearance,0.669,0.49,0.534,818
1019,RIGHT,右边,644.9230952380952,-0.6859764251235212,10.0,3423,RIGHT,right,0.74,0.352,0.71,15000
1021,TOWEL,毛巾,636.5323076923078,-0.6751190628042294,7.0,2937,TOWEL,towel,0.63,0.208,0.286,18152
1025,WHISTLE,哨,785.2024999999999,-0.2597535247010483,10.0,327,WHISTLE,whistle,0.653,0.551,0.463,19622
1030,NECESSARY,必须,623.3138095238095,-0.676747862302633,14.0,3626,NECESSARY,necessary,0.75,0.433,0.679,11635
1038,TEACHER,老师,694.2317948717949,-0.4860801275159763,12.0,4688,TEACHER,teacher,0.76,0.404,0.885,17659
1039,SHOW,展示,699.383846153846,-0.4765943379450279,15.0,7657,SHOW,show,0.673,0.771,0.719,15926
1041,INCREASE,增加,598.2942500000001,-0.7763970615174355,20.0,10141,INCREASE,increase,0.81,0.657,0.886,9018
1042,CARPENTER,木匠,688.44,-0.4132585762502584,10.0,2910,CARPENTER,carpenter,0.521,0.55,0.519,2588
1044,PILLOW,枕头,644.4976315789472,-0.6489165047578244,13.0,6140,PILLOW,pillow,0.663,0.128,0.195,13049
1045,POET,诗人,636.8239999999998,-0.6996400332034185,10.0,11440,POET,poet,0.827,0.35,0.556,13248
1046,SHUT,关闭,683.0989999999999,-0.5923409182139145,12.0,4090,SHUT,close,0.292,0.26,0.263,3167
1047,PURSUE,追,656.65125,-0.6159787429901142,9.0,569,PURSUE,pursue,0.417,0.783,0.536,13996
1053,HUNTER,猎人,640.9169230769231,-0.6556775167003144,13.0,8685,HUNTER,hunter,0.292,0.817,0.817,8636
1054,SMALLPOX,天花,762.7215000000001,-0.3378671655775134,11.0,2674,SMALLPOX,smallpox,0.156,0.583,0.222,16244
1066,CRIME,犯罪,611.9451219512196,-0.7147651464115186,18.0,3758,CRIME,crime,0.071,0.943,0.63,4117
107,OMEN,兆头,839.3397222222222,-0.0439965484829657,11.0,4029,OMEN,omen,0.39,0.657,0.583,12103
1072,PRISONER,犯人,663.5897560975608,-0.5520763084683984,7.0,3755,PRISONER,prisoner,0.071,0.654,0.308,13651
1075,TRAP (PITFALL),陷阱,686.7982051282052,-0.5292193878202208,16.0,8960,TRAP (PITFALL),trap,0.104,0.61,0.391,18262
1076,EMERGE (APPEAR),出现,647.09325,-0.6836077774130459,13.0,3256,EMERGE (APPEAR),appear,0.735,0.506,0.567,817
1080,VULGAR,粗俗,736.0949999999999,-0.3059830886931832,20.0,8803,VULGAR,vulgar,0.083,0.82,0.445,19369
1082,MERCHANT,商人,645.8738461538462,-0.648682507701303,13.0,8372,MERCHANT,merchant,0.675,0.5,0.62,10959
1084,CALL,叫,701.66075,-0.4603605121878407,5.0,34,CALL,call,0.594,0.627,0.558,2435
1085,FOLLOW,跟随,777.5166666666667,-0.2614153758995496,24.0,9776,FOLLOW,follow,0.667,0.509,0.6,6938
1086,WORK (ACTIVITY),干活,718.0848717948718,-0.3599932923010974,12.0,2288,WORK (ACTIVITY),work,0.719,0.596,0.75,19790
1087,CONCEIVE,构思,742.8031707317074,-0.4413229199247921,17.0,6135,CONCEIVE,conceive,0.708,0.538,0.7,3514
1088,SINK (DESCEND),沉,647.5540000000001,-0.6351348779535806,7.0,115,SINK (DESCEND),sink,0.375,0.439,0.322,16063
1090,BE BORN,出生,656.779756097561,-0.6564877827467566,10.0,3231,BE BORN,born,0.865,0.509,0.591,2015
1095,LET GO OR SET FREE,释放,670.9215789473683,-0.6049787988131926,20.0,11753,LET GO OR SET FREE,release,0.74,0.606,0.741,14592
1096,SONG,歌曲,716.1041025641025,-0.4467739816443103,20.0,9944,SONG,song,0.854,0.413,0.5,16448
1100,COOK (SOMETHING),烹饪,734.6314285714284,-0.4202259742727352,18.0,8679,COOK (SOMETHING),cook,0.847,0.5,0.412,3842
1105,CAMP,营地,708.2452631578948,-0.4098304874903119,17.0,11305,CAMP,camp,0.622,0.617,0.594,2459
1111,CAR,汽车,628.65725,-0.6794701814572645,11.0,5298,CAR,car,0.776,0.54,0.5,2545
1112,SUCCEED,成功,582.749024390244,-0.8601610988019333,11.0,4511,SUCCEED,succeed,0.926,0.755,0.926,17208
1114,BULLET,子弹,597.2875,-0.786723690210262,14.0,2231,BULLET,bullet,0.408,0.794,0.634,2269
1115,SPEECH,言,716.096,-0.4456087538122354,7.0,129,SPEECH,speech,0.656,0.47,0.688,16585
1117,LIKE,喜欢,632.0141463414634,-0.6977596388072513,18.0,9024,LIKE,like,0.719,0.353,0.446,10245
1119,DIVIDE,划分,801.8805000000001,-0.223298338763151,10.0,4137,DIVIDE,divide,0.333,0.52,0.417,5253
1120,HONEST,老实,683.5212195121949,-0.5196999388082563,14.0,4692,HONEST,honest,0.927,0.254,0.75,8469
1121,SECRET,保密,650.26075,-0.6801500660794049,20.0,6598,SECRET,secret,0.479,0.58,0.509,15584
1122,WAGES,工资,632.8978048780489,-0.6421973218681953,13.0,2274,WAGES,wages,0.776,0.44,0.62,19384
1123,PREGNANT,怀孕,601.4902500000001,-0.749475524005584,12.0,5155,PREGNANT,pregnant,0.765,0.773,0.537,13516
113,SHORE,滨,813.1596874999998,-0.0266478143081884,13.0,780,SHORE,shore,0.542,0.304,0.204,15902
1133,MATCH,火柴,663.6920512820512,-0.5980019560212897,14.0,3009,MATCH,match,0.599,0.573,0.5,10800
1136,RABBIT,兔子,661.3536585365854,-0.5493455416360621,11.0,5570,RABBIT,rabbit,0.685,0.33,0.241,14114
1138,FAIRY,仙人,713.5163157894737,-0.3850562187853041,7.0,3164,FAIRY,fairy,0.776,0.408,0.413,6435
1139,LEOPARD,豹子,740.7984615384617,-0.3098798914304231,13.0,8178,LEOPARD,leopard,0.542,0.755,0.611,10151
1145,SWAMP,沼泽,702.0655263157895,-0.396626061036373,16.0,6196,SWAMP,swamp,0.245,0.425,0.235,17413
1146,AUBERGINE,茄子,667.4449999999999,-0.5730798758478209,11.0,7317,AUBERGINE,eggplant,0.592,0.152,0.323,5678
1147,PURE,清,688.0324390243903,-0.4566435091397223,11.0,450,PURE,pure,0.811,0.306,0.652,13978
1149,ORPHAN,孤儿,639.0284615384617,-0.6763140482552317,10.0,5805,ORPHAN,orphan,0.133,0.388,0.14,12249
1150,THUNDER,雷电,760.948717948718,-0.2661232334443609,18.0,9857,THUNDER,thunder,0.296,0.916,0.526,17946
1156,OPEN,打开,613.3607692307693,-0.7308220019128958,9.0,3632,OPEN,open,0.62,0.48,0.569,12143
1158,STEP,台阶,720.3477499999999,-0.4877531740191416,11.0,3418,STEP,step,0.531,0.321,0.347,16884
1160,THIEF,小偷,685.5063414634146,-0.4691816910055075,14.0,2246,THIEF,thief,0.088,0.888,0.443,17874
1162,INTENTION,意向,769.3892682926828,-0.2811240077941051,19.0,9543,INTENTION,intention,0.531,0.48,0.636,9383
117,IMITATE,模仿,660.648780487805,-0.6058782987993377,20.0,10200,IMITATE,imitate,0.469,0.561,0.336,8795
1171,MIRROR,镜子,626.9348780487805,-0.6900633411135174,19.0,11822,MIRROR,mirror,0.677,0.31,0.438,11140
1172,SHOOT,射击,653.76,-0.5913509461900514,15.0,7649,SHOOT,shoot,0.092,0.926,0.625,15892
1173,EYEBROW,眉毛,667.4237837837837,-0.5536012047322442,13.0,7161,EYEBROW,eyebrow,0.51,0.198,0.222,6382
1174,YESTERDAY,昨天,650.1317500000001,-0.6352282736582665,13.0,6945,YESTERDAY,yesterday,0.5,0.286,0.253,19918
1175,GHOST,幽灵,711.9730952380952,-0.5057806126144483,16.0,6783,GHOST,ghost,0.265,0.755,0.343,7476
1182,NOISE,噪音,697.1659459459461,-0.4466370530090339,25.0,10316,NOISE,noise,0.26,0.883,0.388,11813
1183,PALM OF HAND,手掌,614.3125641025641,-0.7673048099095067,16.0,2805,PALM OF HAND,palm,0.531,0.194,0.34,12480
1188,CHARCOAL,炭,736.1832500000002,-0.3827982294055497,9.0,278,CHARCOAL,charcoal,0.302,0.186,0.342,2817
1189,ULCER,溃疡,981.3471794871792,0.3784456872406666,20.0,10959,ULCER,ulcer,0.286,0.596,0.377,18534
1193,STEAM,蒸汽,809.8459459459459,0.0064836091062907,20.0,10079,STEAM,steam,0.469,0.413,0.421,16867
1199,WIFE,妻子,627.6621621621622,-0.7269693481383814,11.0,5788,WIFE,wife,0.886,0.63,0.583,19656
