Token,POS,Frequency
",",PUNCT,64
.,PUNCT,57
the,DET,23
i,PRON,22
and,CCONJ,18
you,PRON,18
of,ADP,16
to,PART,15
a,DET,14
it,PRON,14
in,ADP,11
points,NOUN,10
is,AUX,10
!,PUNCT,9
harry,PROPN,8
to,ADP,8
your,PRON,8
he,PRON,7
not,PART,7
that,SCONJ,7
with,ADP,6
have,AUX,6
for,ADP,6
my,PRON,6
be,AUX,6
but,CCONJ,5
see,VERB,5
.,PROPN,5
would,AUX,4
that,PRON,4
?,PUNCT,4
has,AUX,4
ah,INTJ,4
professor,NOUN,4
good,ADJ,3
afraid,ADJ,3
will,AUX,3
up,ADP,3
who,PRON,3
stand,VERB,3
have,VERB,3
so,ADV,3
trust,VERB,3
on,ADP,3
place,NOUN,3
most,ADV,3
'm,AUX,3
mirror,NOUN,3
now,ADV,3
mr,PROPN,3
award,VERB,3
me,PRON,3
no,INTJ,3
was,AUX,3
first,ADJ,2
many,ADJ,2
mark,NOUN,2
must,AUX,2
gone,VERB,2
from,ADP,2
friend,NOUN,2
why,SCONJ,2
what,PRON,2
fine,ADJ,2
ronald,PROPN,2
fifty,NUM,2
few,ADJ,2
family,NOUN,2
exactly,ADV,2
everyone,PRON,2
more,ADV,2
seen,VERB,2
potter,PROPN,2
gryffindor,NOUN,2
great,ADJ,2
order,NOUN,2
known,VERB,2
yes,INTJ,2
years,NOUN,2
into,ADP,2
one,NUM,2
only,ADV,2
house,PROPN,2
house,NOUN,2
or,CCONJ,2
our,PRON,2
kind,NOUN,2
him,PRON,2
does,AUX,2
let,VERB,2
wish,VERB,2
has,VERB,2
love,PROPN,2
's,AUX,2
hagrid,VERB,2
hagrid,PROPN,2
done,VERB,2
all,ADV,2
third,ADJ,2
die,VERB,2
away,ADV,2
could,AUX,2
cup,NOUN,2
deal,NOUN,2
best,ADJ,2
stone,NOUN,2
again,ADV,2
there,ADV,2
as,SCONJ,2
them,PRON,2
us,PRON,2
can,AUX,2
this,DET,2
slytherin,NOUN,2
well,ADV,2
only,ADJ,1
unfortunate,ADJ,1
understand,VERB,1
panic,NOUN,1
truth,NOUN,1
trouble,NOUN,1
touch,VERB,1
year,NOUN,1
painful,ADJ,1
thus,ADV,1
others,NOUN,1
tokens,NOUN,1
opening,VERB,1
toffee,NOUN,1
outstanding,ADJ,1
until,SCONJ,1
while,SCONJ,1
out,ADP,1
this,PRON,1
tomorrow,NOUN,1
skin,NOUN,1
off,ADP,1
yesand,NOUN,1
mother,NOUN,1
were,AUX,1
moved,VERB,1
which,PRON,1
weasley,PROPN,1
ways,NOUN,1
wasted,VERB,1
wanted,VERB,1
n't,PART,1
naturally,ADV,1
needs,VERB,1
neither,CCONJ,1
never,ADV,1
neville,NOUN,1
new,ADJ,1
nice,ADJ,1
nicholas,PROPN,1
no,DET,1
vomit,NOUN,1
very,ADJ,1
note,VERB,1
use,VERB,1
nothing,PRON,1
notices,NOUN,1
third,ADV,1
use,NOUN,1
peril,NOUN,1
think,VERB,1
second,ADJ,1
right,ADJ,1
takes,VERB,1
taken,VERB,1
safe,ADJ,1
students,NOUN,1
strictly,ADV,1
saved,VERB,1
saying,VERB,1
start,NOUN,1
standing,VERB,1
school,NOUN,1
second,ADV,1
remind,VERB,1
secret,NOUN,1
something,PRON,1
set,VERB,1
she,PRON,1
should,AUX,1
shows,VERB,1
side,NOUN,1
silence,NOUN,1
since,SCONJ,1
slytherin,PROPN,1
sixty,NUM,1
return,VERB,1
remember,VERB,1
they,PRON,1
thank,VERB,1
wins,VERB,1
person,NOUN,1
these,DET,1
there,PRON,1
played,VERB,1
please,INTJ,1
please,VERB,1
then,ADV,1
whole,ADJ,1
problems,NOUN,1
that,DET,1
than,ADP,1
relax,VERB,1
professor,PROPN,1
pure,ADJ,1
quirrell,NOUN,1
quirrell,PROPN,1
ravenclaw,NOUN,1
term,NOUN,1
ready,ADJ,1
realise,VERB,1
ten,NUM,1
really,ADV,1
recent,ADJ,1
sacrificed,VERB,1
knowledge,NOUN,1
more,ADJ,1
brilliant,ADJ,1
chess,NOUN,1
chat,NOUN,1
change,NOUN,1
caretaker,NOUN,1
calculations,NOUN,1
by,ADP,1
bringing,VERB,1
bravery,NOUN,1
clue,NOUN,1
boy,NOUN,1
bounds,NOUN,1
bott,PROPN,1
both,PRON,1
between,ADP,1
better,ADV,1
beterrn,VERB,1
chocolate,NOUN,1
come,VERB,1
down,ADP,1
deepest,ADJ,1
do,VERB,1
do,AUX,1
discovered,VERB,1
destroyed,VERB,1
desperate,ADJ,1
desires,NOUN,1
delights,NOUN,1
decoration,NOUN,1
complete,ADJ,1
death,NOUN,1
dear,ADJ,1
dark,ADJ,1
courage,NOUN,1
corridor,NOUN,1
correct,ADJ,1
cool,ADJ,1
beside,ADP,1
bertie,PROPN,1
believe,VERB,1
across,ADP,1
alas,INTJ,1
agreed,VERB,1
afternoon,NOUN,1
after,ADV,1
affairs,NOUN,1
admirers,NOUN,1
act,NOUN,1
account,NOUN,1
begin,VERB,1
able,ADJ,1
472,NUM,1
426,NUM,1
352,NUM,1
312,NUM,1
's,PART,1
're,AUX,1
all,DET,1
all,PRON,1
also,ADV,1
announce,VERB,1
before,SCONJ,1
been,AUX,1
because,SCONJ,1
bear,VERB,1
beans,NOUN,1
bad,ADJ,1
back,ADV,1
awarded,VERB,1
assuming,VERB,1
asked,VERB,1
ask,VERB,1
around,ADV,1
are,VERB,1
are,AUX,1
another,DET,1
does,VERB,1
dreams,NOUN,1
mm,INTJ,1
however,ADV,1
last,ADJ,1
knows,VERB,1
know,VERB,1
just,ADV,1
intellect,NOUN,1
ideas,NOUN,1
hufflepuff,PROPN,1
home,NOUN,1
less,ADJ,1
hogwarts,NOUN,1
his,PRON,1
himself,PRON,1
herself,PRON,1
hermione,PROPN,1
here,ADV,1
hearts,NOUN,1
leaves,VERB,1
life,NOUN,1
dungeons,NOUN,1
love,NOUN,1
miss,VERB,1
minute,NOUN,1
men,NOUN,1
mcgonagall,PROPN,1
man,NOUN,1
mad,ADJ,1
luck,NOUN,1
lost,VERB,1
like,ADP,1
looking,VERB,1
look,VERB,1
longbottom,PROPN,1
lives,VERB,1
live,VERB,1
little,ADJ,1
liking,NOUN,1
happiest,ADJ,1
happened,VERB,1
hand,NOUN,1
events,NOUN,1
flavour,NOUN,1
find,VERB,1
finally,ADV,1
filch,PROPN,1
feast,NOUN,1
far,ADV,1
every,DET,1
even,ADV,1
had,VERB,1
erised,ADJ,1
enough,ADJ,1
enemies,NOUN,1
elixir,NOUN,1
earwax,X,1
earth,NOUN,1
dwell,VERB,1
flavoured,VERB,1
floor,NOUN,1
forbidden,VERB,1
forest,NOUN,1
gryffindor,PROPN,1
growing,VERB,1
grave,ADJ,1
granger,NOUN,1
goodbye,ADJ,1
go,VERB,1
gives,VERB,1
give,VERB,1
get,VERB,1
game,NOUN,1
front,NOUN,1
frogs,NOUN,1
friends,NOUN,1
fourth,ADJ,1
forget,VERB,1
youth,NOUN,1
