Token,POS,Frequency
",",PUNCT,136
.,PUNCT,134
you,PRON,47
the,DET,45
i,PRON,45
of,ADP,31
it,PRON,30
to,PART,29
and,CCONJ,27
a,DET,24
is,AUX,23
harry,PROPN,19
in,ADP,19
not,PART,17
that,SCONJ,16
!,PUNCT,15
to,ADP,15
?,PUNCT,15
for,ADP,13
be,AUX,12
have,AUX,11
he,PRON,11
points,NOUN,10
but,CCONJ,10
will,AUX,10
your,PRON,9
that,PRON,9
been,AUX,9
me,PRON,9
they,PRON,9
.,PROPN,8
our,PRON,8
would,AUX,8
my,PRON,8
has,AUX,8
with,ADP,7
are,AUX,7
see,VERB,7
have,VERB,7
hagrid,PROPN,7
can,AUX,6
them,PRON,6
if,SCONJ,6
professor,NOUN,6
we,PRON,6
then,ADV,6
ah,INTJ,6
'm,AUX,6
was,AUX,5
well,ADV,5
yes,INTJ,5
why,SCONJ,5
place,NOUN,5
into,ADP,5
gryffindor,NOUN,5
school,NOUN,5
afraid,ADJ,5
want,VERB,5
mr,PROPN,5
exactly,ADV,5
who,PRON,5
's,AUX,5
so,ADV,5
there,PRON,5
could,AUX,4
their,PRON,4
good,ADJ,4
only,ADV,4
few,ADJ,4
both,PRON,4
she,PRON,4
this,DET,4
must,AUX,4
everyone,PRON,4
what,PRON,4
from,ADP,4
no,INTJ,4
wish,VERB,4
as,SCONJ,4
now,ADV,4
something,PRON,4
on,ADP,4
has,VERB,4
house,NOUN,3
find,VERB,3
time,NOUN,3
first,ADJ,3
chamber,NOUN,3
that,DET,3
this,PRON,3
one,NUM,3
again,ADV,3
however,ADV,3
tell,VERB,3
let,VERB,3
most,ADV,3
more,ADV,3
die,VERB,3
stand,VERB,3
hogwarts,NOUN,3
tom,PROPN,3
which,PRON,3
very,ADV,3
go,VERB,3
up,ADP,3
all,PRON,3
us,PRON,3
when,SCONJ,3
back,ADV,3
great,ADJ,3
voldemort,PROPN,3
many,ADJ,3
award,VERB,3
at,ADP,3
no,DET,3
ask,VERB,3
's,PART,3
mirror,NOUN,3
weasley,PROPN,3
believe,VERB,3
do,AUX,3
potter,PROPN,3
true,ADJ,3
him,PRON,3
trust,VERB,3
understand,VERB,3
had,VERB,2
say,VERB,2
ronald,PROPN,2
years,NOUN,2
slytherin,NOUN,2
gryffindor,PROPN,2
safe,ADJ,2
feast,NOUN,2
innocent,ADJ,2
discovered,VERB,2
hagrid,VERB,2
done,VERB,2
kind,NOUN,2
does,AUX,2
speak,VERB,2
hat,NOUN,2
his,PRON,2
right,ADJ,2
himself,PRON,2
should,AUX,2
petrified,VERB,2
second,ADV,2
house,PROPN,2
recent,ADJ,2
fifty,NUM,2
able,ADJ,2
powers,NOUN,2
seen,VERB,2
gone,VERB,2
family,NOUN,2
friend,NOUN,2
governors,NOUN,2
realise,VERB,2
fine,ADJ,2
events,NOUN,2
relax,VERB,2
rules,NOUN,2
well,INTJ,2
cup,NOUN,2
lord,PROPN,2
thank,VERB,2
more,ADJ,2
course,NOUN,2
there,ADV,2
until,SCONJ,2
these,DET,2
come,VERB,2
think,VERB,2
third,ADJ,2
look,VERB,2
looking,VERB,2
mark,NOUN,2
before,SCONJ,2
sprout,VERB,2
all,ADV,2
all,DET,2
love,PROPN,2
best,ADJ,2
oh,INTJ,2
by,ADP,2
off,ADV,2
madame,PROPN,2
also,ADV,2
nothing,PRON,2
begin,VERB,2
truth,NOUN,2
because,SCONJ,2
away,ADV,2
were,AUX,2
known,VERB,2
stone,NOUN,2
another,DET,2
around,ADV,2
students,NOUN,2
as,ADP,2
taken,VERB,2
deal,NOUN,2
out,ADP,2
mcgonagall,PROPN,2
am,AUX,2
or,CCONJ,2
may,AUX,2
order,NOUN,2
needs,VERB,1
proven,VERB,1
potion,NOUN,1
nice,ADJ,1
note,VERB,1
professor,PROPN,1
nicholas,PROPN,1
prizes,NOUN,1
pull,VERB,1
night,NOUN,1
problems,NOUN,1
no,ADV,1
proceed,VERB,1
proof,NOUN,1
norris,PROPN,1
parseltongue,NOUN,1
please,INTJ,1
possess,VERB,1
phoenix,PROPN,1
pardon,NOUN,1
papers,NOUN,1
panic,NOUN,1
parseltongue,PROPN,1
past,ADJ,1
painful,ADJ,1
outstanding,ADJ,1
perhaps,ADV,1
peril,NOUN,1
person,NOUN,1
petrified,ADJ,1
never,ADV,1
others,NOUN,1
phoenixes,NOUN,1
notices,NOUN,1
opening,VERB,1
neither,CCONJ,1
opened,VERB,1
pity,NOUN,1
neville,NOUN,1
played,VERB,1
only,ADJ,1
one,NOUN,1
new,ADJ,1
please,VERB,1
pomfrey,PROPN,1
old,ADJ,1
off,ADP,1
owl,NOUN,1
!,PROPN,1
pure,ADJ,1
qualities,NOUN,1
troubling,VERB,1
trouble,NOUN,1
treat,NOUN,1
transferred,VERB,1
touch,VERB,1
too,ADV,1
tomorrow,NOUN,1
tokens,NOUN,1
toffee,NOUN,1
thus,ADV,1
through,ADP,1
three,NUM,1
those,PRON,1
third,ADV,1
things,NOUN,1
therefore,ADV,1
than,ADP,1
term,NOUN,1
ten,NUM,1
tears,NOUN,1
takes,VERB,1
take,VERB,1
suspend,VERB,1
summon,VERB,1
suggest,VERB,1
truly,ADV,1
um,INTJ,1
under,ADP,1
we-,PRON,1
yourself,PRON,1
young,ADJ,1
yesand,NOUN,1
year,NOUN,1
written,VERB,1
wonder,VERB,1
wise,ADJ,1
wins,VERB,1
whose,DET,1
whole,ADJ,1
while,SCONJ,1
ways,NOUN,1
understood,VERB,1
way,NOUN,1
wasted,VERB,1
wanted,VERB,1
wandering,VERB,1
vomit,NOUN,1
voldemort,VERB,1
voldemort,NOUN,1
very,ADJ,1
use,VERB,1
use,NOUN,1
unfortunate,ADJ,1
sufficient,ADJ,1
successfully,ADV,1
strongly,ADV,1
remind,VERB,1
saying,VERB,1
saw,VERB,1
saved,VERB,1
sacrificed,VERB,1
round,NOUN,1
riddle,PROPN,1
revive,VERB,1
return,VERB,1
responsible,ADJ,1
resourcefulness,NOUN,1
removal,NOUN,1
remember,VERB,1
second,ADJ,1
release,NOUN,1
recommend,VERB,1
receive,VERB,1
reborn,VERB,1
really,ADV,1
real,ADJ,1
ready,ADJ,1
ravenclaw,NOUN,1
quite,DET,1
quirrell,PROPN,1
quirrell,NOUN,1
scar,NOUN,1
secret,NOUN,1
strictly,ADV,1
silence,NOUN,1
step,VERB,1
start,NOUN,1
standing,VERB,1
special,ADJ,1
sorting,VERB,1
somebody,PRON,1
some,PRON,1
slytherin,PROPN,1
skin,NOUN,1
sixty,NUM,1
since,SCONJ,1
side,NOUN,1
secrets,NOUN,1
shows,VERB,1
shown,VERB,1
show,VERB,1
n't,PART,1
severus,PROPN,1
severus,NOUN,1
severe,ADJ,1
several,ADJ,1
set,VERB,1
services,NOUN,1
sense,VERB,1
naturally,ADV,1
last,ADJ,1
myself,PRON,1
chose,VERB,1
curiously,ADV,1
cure,VERB,1
creatures,NOUN,1
courage,NOUN,1
corridor,NOUN,1
correct,ADJ,1
cornelius,NOUN,1
cool,ADJ,1
consequences,NOUN,1
confidence,NOUN,1
complete,ADJ,1
clue,NOUN,1
closely,ADV,1
choices,NOUN,1
danger,NOUN,1
choice,NOUN,1
chocolate,NOUN,1
chess,NOUN,1
chat,NOUN,1
