Token,POS,Frequency
.,PUNCT,171
",",PUNCT,110
?,PUNCT,104
!,PUNCT,75
i,PRON,67
you,PRON,50
the,DET,44
it,PRON,43
's,AUX,39
what,PRON,33
he,PRON,33
a,DET,32
n't,PART,29
-,PUNCT,25
to,PART,25
me,PRON,20
we,PRON,20
was,AUX,18
do,AUX,17
but,CCONJ,17
that,PRON,16
know,VERB,16
and,CCONJ,16
in,ADP,15
hagrid,PROPN,15
is,AUX,14
who,PRON,14
are,AUX,13
of,ADP,13
to,ADP,12
not,PART,12
ron,PROPN,12
this,PRON,11
on,ADP,11
that,DET,11
think,VERB,10
's,PART,10
my,PRON,10
go,VERB,9
there,ADV,9
'm,AUX,9
see,VERB,9
stone,NOUN,9
whoa,INTJ,9
get,VERB,8
hermione,PROPN,8
snape,NOUN,8
one,NUM,8
come,VERB,8
've,AUX,8
how,SCONJ,8
got,VERB,7
're,AUX,7
let,VERB,7
never,ADV,7
do,VERB,7
be,AUX,7
can,AUX,6
they,PRON,6
minute,NOUN,6
there,PRON,6
no,INTJ,6
does,AUX,6
just,ADV,6
if,SCONJ,6
with,ADP,6
here,ADV,6
'll,AUX,6
going,VERB,5
why,SCONJ,5
all,ADV,5
mean,VERB,5
gone,VERB,5
parents,NOUN,5
something,PRON,5
excuse,VERB,5
have,VERB,5
like,ADP,5
voldemort,NOUN,5
yes,INTJ,5
.,PROPN,5
day,NOUN,5
harry,PROPN,5
trying,VERB,5
did,AUX,5
no,DET,5
then,ADV,5
for,ADP,5
three,NUM,5
out,ADP,4
could,AUX,4
dragon,NOUN,4
people,NOUN,4
dumbledore,PROPN,4
wow,INTJ,4
's,PRON,4
about,ADP,4
where,SCONJ,4
's,VERB,4
all,DET,4
am,AUX,4
so,ADV,4
okay,INTJ,4
up,ADP,4
oh,INTJ,4
give,VERB,4
that,SCONJ,4
flamel,PROPN,4
happened,VERB,3
fluffy,ADJ,3
gringotts,PROPN,3
dog,NOUN,3
door,NOUN,3
nine,NUM,3
nicholas,PROPN,3
nothing,PRON,3
must,AUX,3
exactly,ADV,3
look,VERB,3
kill,VERB,3
hey,INTJ,3
himself,PRON,3
from,ADP,3
hogwarts,NOUN,3
quarters,NOUN,3
hagrid,ADJ,3
anything,PRON,3
troll,NOUN,3
tried,VERB,3
sir,PROPN,3
steal,VERB,3
told,VERB,3
back,ADV,3
she,PRON,3
time,NOUN,3
this,DET,3
wait,VERB,3
say,VERB,3
thing,NOUN,3
been,AUX,3
off,ADP,3
want,VERB,3
wants,VERB,3
well,ADV,3
yeah,INTJ,3
platform,NOUN,3
philosopher,NOUN,3
tell,VERB,3
your,PRON,3
or,CCONJ,3
thanks,NOUN,3
sorry,INTJ,3
into,ADP,2
them,PRON,2
tonight,NOUN,2
odd,ADJ,2
try,VERB,2
him,PRON,2
uh,INTJ,2
understand,VERB,2
that,ADV,2
use,VERB,2
vault,NOUN,2
wand,NOUN,2
hello,INTJ,2
headed,ADJ,2
wrong,ADJ,2
have,AUX,2
happens,VERB,2
hagrid,VERB,2
their,PRON,2
talked,VERB,2
its,PRON,2
mistake,NOUN,2
one,NOUN,2
ow,INTJ,2
past,ADP,2
potter,PROPN,2
professor,NOUN,2
quidditch,PROPN,2
nice,ADJ,2
really,ADV,2
right,ADV,2
need,VERB,2
said,VERB,2
myself,PRON,2
seem,VERB,2
move,VERB,2
might,AUX,2
killed,VERB,2
met,VERB,2
means,VERB,2
slytherin,ADJ,2
snape,PROPN,2
malfoy,NOUN,2
!,PROPN,2
magic,NOUN,2
little,ADJ,2
listen,NOUN,2
still,ADV,2
life,NOUN,2
stranger,NOUN,2
knows,VERB,2
knew,VERB,2
 ,SPACE,2
make,VERB,2
had,VERB,2
down,ADP,2
glass,NOUN,2
century,NOUN,2
gave,VERB,2
after,ADP,2
at,ADP,2
as,ADV,2
ahh,INTJ,2
bit,NOUN,2
famous,ADJ,2
as,ADP,2
died,VERB,2
any,DET,2
fine,ADJ,2
find,VERB,2
good,ADJ,2
dad,NOUN,2
before,ADV,2
bad,ADJ,2
',PART,2
'd,AUX,2
guarding,NOUN,2
ca,AUX,2
swear,VERB,1
talk,VERB,1
these,PRON,1
taken,VERB,1
take,VERB,1
take,NOUN,1
birds,NOUN,1
sunday,PROPN,1
such,DET,1
such,ADJ,1
students,NOUN,1
strong,ADJ,1
borrow,VERB,1
stranger,ADJ,1
bogies,NOUN,1
talking,VERB,1
these,DET,1
th,X,1
the-,PRON,1
blood,NOUN,1
bloodthat,NOUN,1
better,ADV,1
blown,VERB,1
thank,VERB,1
than,ADP,1
strange,ADJ,1
bitten,VERB,1
bet,VERB,1
bertie,PROPN,1
teachers,NOUN,1
teacher,NOUN,1
teach,VERB,1
believed,VERB,1
before,SCONJ,1
body,NOUN,1
standard,ADJ,1
both,DET,1
send,VERB,1
burning,VERB,1
sir,NOUN,1
simple,ADJ,1
sign,NOUN,1
shows,VERB,1
should,AUX,1
business,NOUN,1
shaking,VERB,1
