Token,POS,Frequency
.,PUNCT,405
",",PUNCT,242
?,PUNCT,192
!,PUNCT,191
you,PRON,156
i,PRON,153
the,DET,104
it,PRON,103
's,AUX,79
n't,PART,72
a,DET,57
what,PRON,57
to,PART,55
he,PRON,47
me,PRON,47
of,ADP,46
we,PRON,45
do,AUX,39
and,CCONJ,38
-,PUNCT,37
was,AUX,37
in,ADP,36
but,CCONJ,35
is,AUX,32
on,ADP,30
ron,PROPN,28
not,PART,27
are,AUX,26
that,PRON,26
know,VERB,26
who,PRON,25
my,PRON,25
think,VERB,25
's,PART,25
hagrid,PROPN,24
that,DET,23
go,VERB,23
come,VERB,22
to,ADP,21
this,PRON,21
've,AUX,21
get,VERB,21
be,AUX,21
no,INTJ,18
're,AUX,18
just,ADV,18
got,VERB,17
did,AUX,17
hermione,PROPN,17
she,PRON,17
'm,AUX,17
why,SCONJ,16
here,ADV,16
if,SCONJ,16
'll,AUX,15
.,PROPN,15
how,SCONJ,15
see,VERB,14
have,AUX,14
can,AUX,14
do,VERB,14
let,VERB,14
never,ADV,13
up,ADP,13
there,PRON,13
could,AUX,13
your,PRON,13
oh,INTJ,13
out,ADP,13
dobby,NOUN,13
then,ADV,13
one,NUM,12
there,ADV,12
for,ADP,12
have,VERB,12
at,ADP,11
mean,VERB,11
tell,VERB,11
chamber,NOUN,11
they,PRON,11
like,ADP,11
ca,AUX,11
sir,PROPN,10
well,INTJ,10
whoa,INTJ,9
been,AUX,9
something,PRON,9
look,VERB,9
secrets,NOUN,9
back,ADV,9
stone,NOUN,9
's,PRON,9
yes,INTJ,9
this,DET,9
dumbledore,PROPN,9
stop,VERB,9
no,DET,9
going,VERB,9
harry,PROPN,9
time,NOUN,8
!,PROPN,8
all,ADV,8
snape,NOUN,8
now,ADV,8
about,ADP,8
tom,PROPN,8
them,PRON,7
that,SCONJ,7
gone,VERB,7
or,CCONJ,7
all,DET,7
through,ADP,7
should,AUX,7
day,NOUN,7
hear,VERB,7
please,INTJ,7
give,VERB,7
trying,VERB,7
with,ADP,7
so,ADV,7
anything,PRON,7
him,PRON,7
need,VERB,7
does,AUX,7
excuse,VERB,6
voldemort,NOUN,6
hogwarts,NOUN,6
hagrid,ADJ,6
kill,VERB,6
three,NUM,6
ginny,NOUN,6
sir,NOUN,6
from,ADP,6
parents,NOUN,6
thank,VERB,6
were,AUX,6
minute,NOUN,6
's,VERB,6
nothing,PRON,6
professor,NOUN,6
okay,INTJ,6
again,ADV,6
killed,VERB,5
want,VERB,5
down,ADP,5
before,ADV,5
dobby,PROPN,5
uh,INTJ,5
really,ADV,5
potter,PROPN,5
basilisk,NOUN,5
ahhhhh,INTJ,5
will,AUX,5
must,AUX,5
sorry,ADJ,5
try,VERB,5
told,VERB,5
hagrid,VERB,5
had,VERB,5
monster,NOUN,5
wow,INTJ,5
all,PRON,5
after,ADP,5
said,VERB,5
ahh,INTJ,5
wake,VERB,5
thing,NOUN,5
riddle,PROPN,5
wait,VERB,5
thanks,NOUN,5
opened,VERB,5
exactly,ADV,5
people,NOUN,5
right,ADJ,5
than,ADP,4
years,NOUN,4
mr,PROPN,4
did,VERB,4
ginny,PROPN,4
professor,PROPN,4
'd,AUX,4
died,VERB,4
wrong,ADJ,4
family,NOUN,4
okay,ADJ,4
any,DET,4
fifty,NUM,4
nine,NUM,4
find,VERB,4
am,AUX,4
flamel,PROPN,4
off,ADP,4
done,VERB,4
would,AUX,4
friends,NOUN,4
ah,INTJ,4
dragon,NOUN,4
still,ADV,4
say,VERB,4
heard,VERB,4
means,VERB,4
when,SCONJ,4
his,PRON,4
house,NOUN,4
slytherin,PROPN,4
bet,VERB,4
understand,VERB,4
malfoy,PROPN,4
hello,INTJ,4
us,PRON,4
well,ADV,4
maybe,ADV,4
where,SCONJ,4
meet,VERB,4
quarters,NOUN,4
school,NOUN,4
way,NOUN,4
happened,VERB,4
spiders,NOUN,4
into,ADP,4
first,ADV,3
sya,PROPN,3
snake,NOUN,3
take,VERB,3
seen,VERB,3
saw,VERB,3
lost,VERB,3
save,VERB,3
fine,ADJ,3
right,ADV,3
loads,NOUN,3
listen,NOUN,3
life,NOUN,3
room,NOUN,3
philosopher,NOUN,3
one,NOUN,3
gringotts,PROPN,3
himself,PRON,3
swear,VERB,3
fluffy,ADJ,3
had,AUX,3
more,ADJ,3
move,VERB,3
might,AUX,3
mrs,PROPN,3
met,VERB,3
sorry,INTJ,3
quiet,ADJ,3
nice,ADJ,3
many,ADJ,3
nicholas,PROPN,3
some,DET,3
norris,PROPN,3
strange,ADJ,3
malfoy,NOUN,3
hey,INTJ,3
make,VERB,3
remember,VERB,3
found,VERB,3
magic,NOUN,3
put,VERB,3
platform,NOUN,3
follow,VERB,3
steal,VERB,3
 ,SPACE,3
colin,PROPN,3
up,ADV,3
tried,VERB,3
bad,ADJ,3
dad,NOUN,3
things,NOUN,3
voldemort,PROPN,3
without,ADP,3
by,ADP,3
those,PRON,3
yeah,INTJ,3
dead,ADJ,3
troll,NOUN,3
train,NOUN,3
door,NOUN,3
as,ADP,3
use,VERB,3
doing,VERB,3
too,ADV,3
dog,NOUN,3
car,NOUN,3
as,ADV,3
wants,VERB,3
wand,NOUN,3
any,PRON,3
water,NOUN,3
common,ADJ,3
bedroom,NOUN,3
wizards,NOUN,3
bathroom,NOUN,3
because,SCONJ,3
was,VERB,3
um,INTJ,3
slytherin,ADJ,2
hedwig,PROPN,2
cat,NOUN,2
catch,VERB,2
myrtle,PROPN,2
headed,ADJ,2
ugh,PROPN,2
someone,PRON,2
somebody,PRON,2
belong,VERB,2
cauldron,NOUN,2
snape,PROPN,2
hold,VERB,2
arania,PROPN,2
