Token,POS,Frequency
.,PUNCT,98
",",PUNCT,65
you,PRON,43
!,PUNCT,38
?,PUNCT,38
it,PRON,34
's,AUX,28
the,DET,27
i,PRON,27
n't,PART,21
is,AUX,17
a,DET,16
's,PART,15
what,PRON,15
and,CCONJ,14
be,AUX,13
to,PART,12
're,AUX,11
harry,PROPN,11
we,PRON,10
do,AUX,10
in,ADP,10
-,PUNCT,9
've,AUX,9
that,PRON,9
of,ADP,8
this,PRON,8
on,ADP,8
do,VERB,8
not,PART,7
are,AUX,7
about,ADP,7
going,VERB,7
was,AUX,6
for,ADP,6
stone,NOUN,6
me,PRON,5
up,ADP,5
know,VERB,5
read,VERB,5
he,PRON,5
with,ADP,5
there,ADV,5
now,ADV,5
your,PRON,5
see,VERB,4
devil,NOUN,4
snare,NOUN,4
there,PRON,4
stop,VERB,4
just,ADV,4
something,PRON,4
but,CCONJ,4
one,NUM,4
will,AUX,4
philosopher,NOUN,4
all,ADV,4
wrong,ADJ,4
come,VERB,3
good,ADJ,3
never,ADV,3
hogwarts,NOUN,3
spells,NOUN,3
means,VERB,3
got,VERB,3
help,VERB,3
dumbledore,NOUN,3
way,NOUN,3
to,ADP,3
only,ADV,3
of,ADV,3
wizard,NOUN,3
how,SCONJ,3
oh,INTJ,3
really,ADV,3
'm,AUX,3
if,SCONJ,3
like,ADP,3
two,NUM,3
'll,AUX,3
better,ADJ,3
'd,AUX,3
relax,VERB,3
who,PRON,3
real,ADJ,3
flamel,PROPN,3
nicholas,PROPN,3
so,ADV,2
guarding,VERB,2
sorry,ADJ,2
neville,NOUN,2
found,VERB,2
spell,NOUN,2
standing,VERB,2
nearly,ADV,2
get,VERB,2
go,VERB,2
like,VERB,2
headless,ADJ,2
my,PRON,2
snape,NOUN,2
leviosa,PROPN,2
long,ADV,2
look,VERB,2
looking,VERB,2
remember,VERB,2
make,VERB,2
into,ADP,2
out,ADP,2
ron,PROPN,2
saying,VERB,2
section,NOUN,2
his,PRON,2
here,ADV,2
seen,VERB,2
heard,VERB,2
or,CCONJ,2
okay,ADJ,2
have,VERB,2
must,AUX,2
floor,NOUN,2
no,INTJ,2
when,SCONJ,2
eugh,NOUN,2
as,ADP,2
they,PRON,2
thing,NOUN,2
as,ADV,2
things,NOUN,2
third,ADJ,2
which,PRON,2
were,AUX,2
did,AUX,2
well,INTJ,2
dead,ADJ,2
bit,NOUN,2
course,NOUN,2
blood,NOUN,2
could,AUX,2
w,NOUN,2
by,ADP,2
uh,INTJ,2
ca,AUX,2
then,ADV,2
can,AUX,2
them,PRON,2
anyone,PRON,2
alohomora,PROPN,2
always,ADV,2
another,DET,2
few,ADJ,2
.,PROPN,2
year,NOUN,2
eye,NOUN,2
that,DET,2
around,ADV,2
are,VERB,2
professor,NOUN,1
pleasure,NOUN,1
potter,PROPN,1
powers,NOUN,1
probably,ADV,1
voldemort,NOUN,1
very,ADV,1
produces,VERB,1
red,ADJ,1
pure,ADJ,1
rather,ADV,1
use,VERB,1
would,AUX,1
reading,NOUN,1
reading,VERB,1
noted,ADJ,1
us,PRON,1
worked,VERB,1
worse,ADJ,1
nt,PART,1
okay,INTJ,1
only,ADJ,1
why,SCONJ,1
whoo,PROPN,1
other,ADJ,1
relaxing,ADJ,1
out,ADV,1
over,ADP,1
ow,INTJ,1
own,ADJ,1
petrificus,PROPN,1
went,AUX,1
wo,AUX,1
oculus,NOUN,1
weeks,NOUN,1
wingardium,PROPN,1
playing,VERB,1
sunlight,NOUN,1
turn,VERB,1
up,ADV,1
six,NUM,1
sky,NOUN,1
thought,VERB,1
slytherin,NOUN,1
smoke,NOUN,1
those,PRON,1
solem,PROPN,1
someone,PRON,1
soon,ADV,1
these,PRON,1
that,SCONJ,1
staircases,NOUN,1
teacher,NOUN,1
standard,ADJ,1
take,VERB,1
ta,PART,1
swish,ADJ,1
stood,VERB,1
sure,ADJ,1
stopped,VERB,1
strange,ADJ,1
supposed,VERB,1
strength,NOUN,1
stupid,ADJ,1
sulk,VERB,1
suppose,VERB,1
sixty,NUM,1
thousand,NUM,1
under,ADP,1
tied,VERB,1
um,INTJ,1
turns,VERB,1
reparo,NOUN,1
restricted,ADJ,1
sun,NOUN,1
right,ADJ,1
right,ADV,1
trust,VERB,1
right,PROPN,1
robes,NOUN,1
troll,NOUN,1
tried,VERB,1
trapdoor,NOUN,1
ron,X,1
safe,ADJ,1
said,VERB,1
say,VERB,1
trap,NOUN,1
touched,VERB,1
totalus,PROPN,1
totally,ADV,1
today,NOUN,1
seven,NUM,1
simple,ADJ,1
toad,NOUN,1
substance,NOUN,1
let,VERB,1
nose,NOUN,1
clever,ADJ,1
early,ADV,1
dumbledore,PROPN,1
drinker,NOUN,1
dragon,NOUN,1
door,NOUN,1
doing,VERB,1
dog,NOUN,1
does,VERB,1
dirt,NOUN,1
die,VERB,1
defending,VERB,1
deadly,ADJ,1
currently,ADV,1
curious,ADJ,1
cricket,NOUN,1
course,ADV,1
contact,NOUN,1
either,PRON,1
elixir,NOUN,1
enchantments,NOUN,1
faster,ADV,1
fluffy,ADJ,1
flick,NOUN,1
filch,PROPN,1
fifth,ADJ,1
feels,VERB,1
feared,VERB,1
fault,NOUN,1
eyes,NOUN,1
end,NOUN,1
expelled,VERB,1
expect,VERB,1
existence,NOUN,1
exams,NOUN,1
example,NOUN,1
even,ADV,1
enjoyable,ADJ,1
cleverness,NOUN,1
christmas,PROPN,1
fool,NOUN,1
chess,NOUN,1
before,SCONJ,1
before,ADV,1
bed,NOUN,1
barbaric,ADJ,1
at,ADV,1
astonishing,ADJ,1
arriving,VERB,1
any,DET,1
an,DET,1
alchemist,NOUN,1
ahhhhh,INTJ,1
ahhhh,INTJ,1
ago,ADV,1
accident,NOUN,1
:,PUNCT,1
..,PUNCT,1
's,PRON,1
belongs,VERB,1
besides,ADV,1
besides,SCONJ,1
broom,NOUN,1
checked,VERB,1
chapter,NOUN,1
change,VERB,1
change,NOUN,1
celebrated,VERB,1
ceiling,NOUN,1
careful,ADJ,1
bravery,NOUN,1
bewitched,ADJ,1
boy,NOUN,1
both,PRON,1
books,NOUN,1
book,NOUN,1
blinking,VERB,1
birthday,NOUN,1
birds,NOUN,1
fly,VERB,1
foot,NOUN,1
no,DET,1
jinxing,VERB,1
lost,VERB,1
locked,VERB,1
light,ADJ,1
life,NOUN,1
library,NOUN,1
leviosar,PROPN,1
legendary,ADJ,1
leave,VERB,1
last,ADJ,1
lacarnum,PROPN,1
known,VERB,1
know,NOUN,1
kind,NOUN,1
killed,VERB,1
kill,VERB,1
keys,NOUN,1
keep,VERB,1
lumus,PROPN,1
madam,PROPN,1
magic,NOUN,1
moving,VERB,1
night,NOUN,1
need,VERB,1
near,ADP,1
named,VERB,1
name,NOUN,1
myself,PRON,1
mr,PROPN,1
move,VERB,1
