Token,POS,Frequency
.,PUNCT,189
",",PUNCT,101
you,PRON,67
it,PRON,61
!,PUNCT,56
?,PUNCT,55
the,DET,53
's,AUX,43
i,PRON,42
a,DET,37
n't,PART,35
is,AUX,27
to,PART,24
be,AUX,23
's,PART,22
and,CCONJ,22
we,PRON,21
of,ADP,20
harry,PROPN,19
what,PRON,17
in,ADP,16
on,ADP,16
're,AUX,16
do,AUX,15
've,AUX,13
me,PRON,12
was,AUX,11
for,ADP,11
not,PART,11
just,ADV,10
to,ADP,10
about,ADP,10
are,AUX,10
this,PRON,10
he,PRON,10
-,PUNCT,10
that,PRON,10
but,CCONJ,10
do,VERB,9
going,VERB,9
know,VERB,9
no,INTJ,8
who,PRON,8
with,ADP,8
go,VERB,8
got,VERB,8
could,AUX,7
ca,AUX,7
oh,INTJ,6
potion,NOUN,6
up,ADP,6
'll,AUX,6
something,PRON,6
your,PRON,6
only,ADV,6
good,ADJ,6
there,PRON,6
stone,NOUN,6
now,ADV,6
they,PRON,6
'm,AUX,5
read,VERB,5
.,PROPN,5
there,ADV,5
one,NUM,5
will,AUX,5
see,VERB,5
all,ADV,5
if,SCONJ,5
into,ADP,5
way,NOUN,5
so,ADV,5
polyjuice,NOUN,5
come,VERB,4
ron,PROPN,4
chamber,NOUN,4
really,ADV,4
real,ADJ,4
professor,NOUN,4
slytherin,PROPN,4
can,AUX,4
philosopher,NOUN,4
out,ADP,4
or,CCONJ,4
look,VERB,4
devil,NOUN,4
has,AUX,4
have,VERB,4
here,ADV,4
him,PRON,4
hogwarts,NOUN,4
nicholas,PROPN,4
never,ADV,4
even,ADV,4
means,VERB,4
make,VERB,4
like,ADP,4
snare,NOUN,4
us,PRON,4
their,PRON,4
bit,NOUN,4
that,SCONJ,4
been,AUX,4
blood,NOUN,4
sure,ADJ,4
wrong,ADJ,4
stop,VERB,4
'd,AUX,4
someone,PRON,4
exactly,ADV,3
another,DET,3
okay,ADJ,3
these,PRON,3
thing,NOUN,3
help,VERB,3
off,ADP,3
of,ADV,3
voice,NOUN,3
looking,VERB,3
very,ADV,3
wizard,NOUN,3
why,SCONJ,3
no,DET,3
dumbledore,NOUN,3
too,ADV,3
anyone,PRON,3
need,VERB,3
better,ADJ,3
how,SCONJ,3
name,NOUN,3
when,SCONJ,3
were,AUX,3
my,PRON,3
flamel,PROPN,3
few,ADJ,3
two,NUM,3
okay,INTJ,3
heir,NOUN,3
!,PROPN,3
strange,ADJ,3
had,VERB,3
simple,ADJ,3
seen,VERB,3
secrets,NOUN,3
spells,NOUN,3
robes,NOUN,3
get,VERB,3
did,AUX,3
would,AUX,3
relax,VERB,3
remember,VERB,3
then,ADV,3
tell,VERB,3
them,PRON,3
found,VERB,3
heard,VERB,3
dangerous,ADJ,3
worked,VERB,2
year,NOUN,2
guarding,VERB,2
let,VERB,2
heh,INTJ,2
hagrid,PROPN,2
yes,INTJ,2
w,NOUN,2
wait,VERB,2
in,ADV,2
well,INTJ,2
his,PRON,2
hairs,NOUN,2
went,AUX,2
hears,VERB,2
hear,VERB,2
wo,AUX,2
headless,ADJ,2
worried,ADJ,2
which,PRON,2
leviosa,PROPN,2
turns,VERB,2
like,VERB,2
one,NOUN,2
opened,VERB,2
our,PRON,2
petrified,ADJ,2
that,DET,2
thanks,NOUN,2
talk,VERB,2
pure,ADJ,2
standing,VERB,2
right,ADJ,2
gryffindor,NOUN,2
say,VERB,2
saying,VERB,2
section,NOUN,2
spell,NOUN,2
sorry,ADJ,2
slytherin,NOUN,2
snakes,NOUN,2
only,ADJ,2
things,NOUN,2
long,ADV,2
think,VERB,2
malfoy,PROPN,2
mandrake,NOUN,2
mcgonagall,PROPN,2
mean,VERB,2
uh,INTJ,2
mind,VERB,2
more,ADV,2
mudblood,NOUN,2
muggle,NOUN,2
must,AUX,2
myrtle,PROPN,2
snape,NOUN,2
nearly,ADV,2
neville,NOUN,2
thousand,NUM,2
those,PRON,2
third,ADJ,2
said,VERB,2
 ,SPACE,2
eye,NOUN,2
back,ADV,2
all,PRON,2
before,SCONJ,2
alohomora,PROPN,2
bulstrode,PROPN,2
also,ADV,2
always,ADV,2
eugh,NOUN,2
dead,ADJ,2
by,ADP,2
ago,ADV,2
are,VERB,2
around,ADV,2
at,ADP,2
change,VERB,2
floor,NOUN,2
as,ADP,2
as,ADV,2
drinker,NOUN,2
fear,NOUN,2
before,ADV,2
crabbe,NOUN,2
goyle,PROPN,2
course,NOUN,2
's,PRON,2
ta,PART,1
supposed,VERB,1
solved,VERB,1
boy,NOUN,1
solem,PROPN,1
swish,ADJ,1
bye,INTJ,1
symbol,NOUN,1
stood,VERB,1
sunlight,NOUN,1
called,VERB,1
careful,ADJ,1
cat,NOUN,1
snake,NOUN,1
smoke,NOUN,1
ceiling,NOUN,1
celebrated,VERB,1
suppose,VERB,1
soon,ADV,1
buy,VERB,1
breaking,VERB,1
brewed,VERB,1
state,NOUN,1
broom,NOUN,1
standard,ADJ,1
stopped,VERB,1
staircases,NOUN,1
bravery,NOUN,1
strength,NOUN,1
sky,NOUN,1
broomstick,ADJ,1
student,NOUN,1
stupid,ADJ,1
substance,NOUN,1
sulk,VERB,1
sun,NOUN,1
sounded,VERB,1
burst,VERB,1
sleeping,NOUN,1
granger,NOUN,1
sixty,NUM,1
six,NUM,1
clever,ADJ,1
returned,VERB,1
return,VERB,1
restricted,ADJ,1
reparo,NOUN,1
reparo,ADJ,1
cleverness,NOUN,1
relaxing,ADJ,1
comes,VERB,1
red,ADJ,1
reason,NOUN,1
common,ADJ,1
complicated,ADJ,1
reading,VERB,1
reading,NOUN,1
congratulations,NOUN,1
rather,ADV,1
quite,ADV,1
question,NOUN,1
put,VERB,1
contact,NOUN,1
right,ADV,1
right,PROPN,1
risky,ADJ,1
chapter,NOUN,1
sir,PROPN,1
change,NOUN,1
sign,NOUN,1
she,PRON,1
take,VERB,1
set,NOUN,1
serpent,NOUN,1
sensitive,ADJ,1
changing,VERB,1
check,NOUN,1
civilized,ADJ,1
school,NOUN,1
checked,VERB,1
cheers,NOUN,1
salazar,PROPN,1
chess,NOUN,1
safe,ADJ,1
rules,NOUN,1
ron,X,1
christmas,PROPN,1
seven,NUM,1
temporarily,ADV,1
talent,NOUN,1
ask,VERB,1
all,DET,1
what,DET,1
allows,VERB,1
already,ADV,1
weeks,NOUN,1
wasting,VERB,1
an,DET,1
wand,NOUN,1
another,PRON,1
any,DET,1
voldemort,NOUN,1
voices,NOUN,1
voice,PROPN,1
usually,ADV,1
used,VERB,1
use,VERB,1
arriving,VERB,1
up,ADV,1
unless,SCONJ,1
uniforms,NOUN,1
under,ADP,1
alchemist,NOUN,1
while,SCONJ,1
ahhhhh,INTJ,1
world,NOUN,1
's,VERB,1
-,ADJ,1
years,NOUN,1
-,NOUN,1
:,PUNCT,1
written,VERB,1
?,PROPN,1
worse,ADJ,1
able,ADJ,1
about,ADV,1
whoo,PROPN,1
wondering,VERB,1
accident,NOUN,1
wizarding,VERB,1
add,VERB,1
without,ADP,1
within,ADP,1
again,ADV,1
wingardium,PROPN,1
ahhhh,INTJ,1
um,INTJ,1
asleep,ADJ,1
both,PRON,1
turn,VERB,1
believe,VERB,1
belongs,VERB,1
besides,ADV,1
besides,SCONJ,1
beware,VERB,1
bewitched,ADJ,1
