Token,POS,Frequency
.,PUNCT,183
!,PUNCT,139
",",PUNCT,119
you,PRON,79
?,PUNCT,77
it,PRON,51
i,PRON,50
's,AUX,48
the,DET,45
a,DET,37
harry,PROPN,34
n't,PART,28
we,PRON,27
what,PRON,27
that,PRON,22
do,AUX,21
and,CCONJ,20
on,ADP,19
to,PART,18
is,AUX,17
're,AUX,16
think,VERB,15
be,AUX,15
of,ADP,15
go,VERB,15
's,PART,15
'll,AUX,14
!,PROPN,14
ahhhhh,INTJ,13
'm,AUX,13
in,ADP,13
know,VERB,13
are,AUX,12
got,VERB,11
he,PRON,11
but,CCONJ,11
me,PRON,11
now,ADV,10
-,PUNCT,10
my,PRON,10
this,PRON,10
was,AUX,10
who,PRON,10
not,PART,10
they,PRON,10
if,SCONJ,10
do,VERB,9
there,PRON,9
to,ADP,9
for,ADP,9
can,AUX,8
've,AUX,8
oh,INTJ,8
us,PRON,8
this,DET,7
or,CCONJ,7
hermione,PROPN,7
him,PRON,7
get,VERB,7
up,ADP,7
why,SCONJ,7
must,AUX,6
see,VERB,6
she,PRON,6
one,NUM,6
how,SCONJ,6
ca,AUX,6
by,ADP,6
great,ADJ,6
did,AUX,6
there,ADV,6
really,ADV,6
bloody,ADJ,6
mean,VERB,6
all,ADV,6
have,AUX,6
at,ADP,6
out,ADP,5
.,PROPN,5
about,ADP,5
dad,NOUN,5
uh,INTJ,5
something,PRON,5
okay,INTJ,5
stop,VERB,5
been,AUX,5
kill,VERB,5
that,DET,5
here,ADV,5
then,ADV,5
well,INTJ,5
right,ADV,5
come,VERB,5
too,ADV,5
like,ADP,4
your,PRON,4
her,PRON,4
no,INTJ,4
bit,NOUN,4
yeah,INTJ,4
hell,NOUN,4
's,PRON,4
ron,PROPN,4
one,NOUN,4
wizard,NOUN,4
just,ADV,4
hagrid,PROPN,4
spiders,NOUN,4
look,VERB,4
with,ADP,4
turn,VERB,4
gon,VERB,4
way,NOUN,4
take,VERB,4
ahem,PROPN,4
doing,VERB,4
na,PART,4
let,VERB,4
course,NOUN,3
never,ADV,3
maybe,ADV,3
only,ADV,3
old,ADJ,3
more,ADJ,3
looking,VERB,3
mum,PROPN,3
no,DET,3
like,VERB,3
could,AUX,3
school,NOUN,3
probably,ADV,3
tell,VERB,3
will,AUX,3
ahhh,INTJ,3
all,DET,3
any,DET,3
anything,PRON,3
weasley,PROPN,3
want,VERB,3
back,ADV,3
bad,ADJ,3
heard,VERB,3
follow,VERB,3
thinks,VERB,3
thanks,NOUN,3
hermione,NOUN,3
into,ADP,3
say,VERB,3
quidditch,NOUN,3
so,ADV,3
sir,PROPN,3
getting,VERB,3
going,VERB,2
mad,ADJ,2
good,ADJ,2
lucky,ADJ,2
its,PRON,2
goyle,PROPN,2
is,VERB,2
had,VERB,2
happy,ADJ,2
hold,VERB,2
knows,VERB,2
home,NOUN,2
has,AUX,2
have,VERB,2
hurry,VERB,2
hundred,NUM,2
itself,PRON,2
huh,INTJ,2
make,VERB,2
honestly,ADV,2
his,PRON,2
made,VERB,2
 ,SPACE,2
malfoy,PROPN,2
mcgonagall,PROPN,2
them,PRON,2
thing,NOUN,2
those,PRON,2
thousand,NUM,2
three,NUM,2
through,ADP,2
trevor,PROPN,2
true,ADJ,2
two,NUM,2
ugh,PROPN,2
