Token,POS,Frequency
.,PUNCT,108
",",PUNCT,73
!,PUNCT,61
you,PRON,42
it,PRON,32
?,PUNCT,32
i,PRON,29
's,AUX,27
the,DET,24
a,DET,24
harry,PROPN,17
to,PART,15
that,PRON,14
is,AUX,13
what,PRON,13
on,ADP,12
n't,PART,11
and,CCONJ,11
we,PRON,10
got,VERB,9
go,VERB,9
know,VERB,8
me,PRON,8
'm,AUX,8
're,AUX,8
've,AUX,7
's,PART,7
do,AUX,7
think,VERB,7
not,PART,7
!,PROPN,6
-,PUNCT,6
be,AUX,6
was,AUX,6
up,ADP,6
my,PRON,6
they,PRON,6
do,VERB,5
this,PRON,5
in,ADP,5
there,PRON,5
can,AUX,5
well,INTJ,5
too,ADV,5
see,VERB,5
hermione,PROPN,5
one,NUM,5
he,PRON,5
oh,INTJ,5
for,ADP,4
this,DET,4
she,PRON,4
if,SCONJ,4
to,ADP,4
but,CCONJ,4
there,ADV,4
really,ADV,4
or,CCONJ,4
'll,AUX,4
right,ADV,4
are,AUX,4
all,ADV,4
wizard,NOUN,4
like,ADP,3
bad,ADJ,3
here,ADV,3
probably,ADV,3
ahhh,INTJ,3
take,VERB,3
only,ADV,3
turn,VERB,3
old,ADJ,3
so,ADV,3
did,AUX,3
him,PRON,3
want,VERB,3
ron,PROPN,3
who,PRON,3
way,NOUN,3
quidditch,NOUN,3
that,DET,3
then,ADV,3
with,ADP,3
about,ADP,3
just,ADV,3
of,ADP,3
by,ADP,3
bit,NOUN,3
telling,VERB,2
george,PROPN,2
gave,VERB,2
stupid,ADJ,2
mean,VERB,2
fred,PROPN,2
no,DET,2
one,NOUN,2
never,ADV,2
stone,NOUN,2
romania,PROPN,2
make,VERB,2
seeker,NOUN,2
is,VERB,2
kill,VERB,2
knows,VERB,2
hundred,NUM,2
scary,ADJ,2
let,VERB,2
queen,NOUN,2
her,PRON,2
made,VERB,2
should,AUX,2
look,VERB,2
its,PRON,2
lucky,ADJ,2
spell,NOUN,2
great,ADJ,2
good,ADJ,2
snape,NOUN,2
now,ADV,2
brilliant,ADJ,2
trevor,PROPN,2
yeah,INTJ,2
bloody,ADJ,2
any,DET,2
come,VERB,2
wake,VERB,2
chess,NOUN,2
check,VERB,2
charlie,PROPN,2
at,ADP,2
weasley,PROPN,2
witch,NOUN,2
wingardium,PROPN,2
brother,NOUN,2
whoa,INTJ,2
whoa,PROPN,2
alohomora,PROPN,2
wicked,ADJ,2
youngest,ADJ,2
your,PRON,2
about,ADV,2
ahhhhh,INTJ,2
.,PROPN,2
thing,NOUN,2
's,VERB,2
's,PRON,2
playing,VERB,1
priorities,NOUN,1
player,NOUN,1
yourself,PRON,1
on,ADV,1
potions,NOUN,1
play,VERB,1
preoccupied,VERB,1
okay,INTJ,1
yellow,ADJ,1
worrying,VERB,1
put,VERB,1
play,NOUN,1
wonder,VERB,1
queen,PROPN,1
wonder,NOUN,1
quidditch,PROPN,1
rare,ADJ,1
rat,NOUN,1
obvious,ADJ,1
will,AUX,1
works,VERB,1
plant,NOUN,1
open,VERB,1
worse,ADJ,1
years,NOUN,1
our,PRON,1
out,ADP,1
yellow,NOUN,1
ow,INTJ,1
own,ADJ,1
pack,NOUN,1
packed,VERB,1
panic,VERB,1
parents,NOUN,1
yes,PROPN,1
pathetic,ADJ,1
pawn,NOUN,1
pea,NOUN,1
people,NOUN,1
peppermint,NOUN,1
yay,PROPN,1
yesterday,NOUN,1
once,SCONJ,1
wow,INTJ,1
phew,PROPN,1
worth,ADJ,1
once,ADV,1
philosopher,NOUN,1
plans,NOUN,1
perhaps,ADV,1
thenwe,ADJ,1
relax,VERB,1
sun,PROPN,1
true,ADJ,1
spinach,NOUN,1
trolls,NOUN,1
spooky,ADJ,1
troll,NOUN,1
square,PROPN,1
sshh,PROPN,1
tripe,NOUN,1
staircase,NOUN,1
told,VERB,1
toast,NOUN,1
stop,VERB,1
studying,VERB,1
times,NOUN,1
sunshine,NOUN,1
speak,VERB,1
sweared,VERB,1
three,NUM,1
thousand,NUM,1
nurse,NOUN,1
tea,NOUN,1
team,NOUN,1
teams,NOUN,1
thinks,VERB,1
than,SCONJ,1
thanks,NOUN,1
things,NOUN,1
that,SCONJ,1
these,PRON,1
their,PRON,1
try,NOUN,1
sort,VERB,1
ridgeback,NOUN,1
school,NOUN,1
why,SCONJ,1
them,PRON,1
white,ADJ,1
whew,PROPN,1
room,NOUN,1
rotten,ADJ,1
rum,NOUN,1
were,VERB,1
rusty,ADJ,1
scabbers,NOUN,1
were,AUX,1
went,VERB,1
scar,NOUN,1
weak,ADJ,1
watch,VERB,1
sorry,ADJ,1
seeker,PROPN,1
set,VERB,1
wanna,VERB,1
visit,VERB,1
us,PRON,1
shows,VERB,1
shut,VERB,1
side,NOUN,1
six,NUM,1
slytherin,PROPN,1
understand,VERB,1
two,NUM,1
try,VERB,1
sometimes,ADV,1
 ,SPACE,1
looks,VERB,1
notice,VERB,1
eugh,NOUN,1
else,ADV,1
each,DET,1
e5,PROPN,1
e-4,NOUN,1
dungeon,NOUN,1
dragons,NOUN,1
dragon,NOUN,1
door,NOUN,1
done,VERB,1
doing,VERB,1
decided,VERB,1
day,NOUN,1
daisies,NOUN,1
d-5,PROPN,1
cup,NOUN,1
crazy,ADJ,1
complicates,VERB,1
comes,VERB,1
cloak,NOUN,1
empty,ADJ,1
eugh,PROPN,1
christmas,PROPN,1
euuugh,PROPN,1
flavour,NOUN,1
five,NUM,1
first,ADV,1
first,ADJ,1
final,ADJ,1
filch,PROPN,1
feet,NOUN,1
father,NOUN,1
fat,ADJ,1
faster,ADV,1
fashioned,ADJ,1
famous,ADJ,1
face,NOUN,1
expect,VERB,1
excuse,VERB,1
exactly,ADV,1
ew,PROPN,1
everywhere,ADV,1
every,DET,1
clever,ADJ,1
chocolate,NOUN,1
norwegian,ADJ,1
besides,NOUN,1
before-,ADV,1
before,SCONJ,1
been,AUX,1
beaters,NOUN,1
back,ADV,1
as,SCONJ,1
as,ADP,1
around,ADP,1
an,DET,1
also,ADV,1
all,DET,1
ahhhhhhhhh,ADJ,1
ahhhhhhh,INTJ,1
ahhhh,PROPN,1
ahem,PROPN,1
ah,INTJ,1
again,ADV,1
actually,ADV,1
across,ADP,1
begin,VERB,1
best,ADJ,1
chessboard,NOUN,1
big,ADJ,1
change,NOUN,1
century,NOUN,1
catch,VERB,1
cat,NOUN,1
castle,PROPN,1
castle,NOUN,1
cards,NOUN,1
captain,NOUN,1
ca,AUX,1
c-3,X,1
butter,NOUN,1
broomstick,PROPN,1
broomstick,NOUN,1
broom,NOUN,1
breath,NOUN,1
brain,NOUN,1
boy,NOUN,1
bogey,NOUN,1
bishop,NOUN,1
flavoured,ADJ,1
fluffy,ADJ,1
free,ADJ,1
maybe,ADV,1
managed,VERB,1
malfoy,NOUN,1
mail,NOUN,1
luck,NOUN,1
looking,VERB,1
looked,VERB,1
look,NOUN,1
locked,VERB,1
locked,ADJ,1
liver,NOUN,1
little,ADJ,1
like,SCONJ,1
light,ADJ,1
leviosar,PROPN,1
leviosaaar,NOUN,1
leviosa,PROPN,1
levioooosa,PROPN,1
left,VERB,1
late,ADJ,1
mate,NOUN,1
mcgonagall,PROPN,1
friends,NOUN,1
means,VERB,1
no,PROPN,1
no,INTJ,1
nimbus,PROPN,1
nightmare,NOUN,1
nick,PROPN,1
needs,VERB,1
nearly,ADV,1
na,PART,1
myself,PRON,1
must,AUX,1
mum,NOUN,1
moves,VERB,1
moves,NOUN,1
move,NOUN,1
more,ADJ,1
mirror,NOUN,1
mind,VERB,1
mental,ADJ,1
mellow,ADJ,1
knight,PROPN,1
knight,NOUN,1
king,NOUN,1
keeping,VERB,1
have,VERB,1
has,VERB,1
has,AUX,1
happy,ADJ,1
hang,VERB,1
handle,NOUN,1
hagrid,PROPN,1
had,VERB,1
h-3,VERB,1
graveyard,NOUN,1
good,NOUN,1
gon,VERB,1
going,VERB,1
getting,VERB,1
get,VERB,1
game,NOUN,1
future,NOUN,1
full,ADJ,1
from,ADP,1
head,NOUN,1
headless,ADJ,1
heads,NOUN,1
immortal,ADJ,1
jump,NOUN,1
jokes,NOUN,1
jinxing,VERB,1
itself,PRON,1
invisibility,NOUN,1
into,ADP,1
influence,NOUN,1
in-,PROPN,1
imagine,VERB,1
hell,NOUN,1
hurry,VERB,1
how,SCONJ,1
house,NOUN,1
horrible,ADJ,1
honestly,ADV,1
holding,VERB,1
hey,INTJ,1
help,NOUN,1
yuck,PROPN,1
