Token,POS,Frequency
.,PUNCT,20
",",PUNCT,15
me,PRON,6
can,AUX,5
!,PUNCT,4
and,CCONJ,4
i,PRON,4
it,PRON,4
see,VERB,4
him,PRON,3
is,VERB,3
that,PRON,3
something,PRON,3
the,DET,3
there,PRON,3
to,PART,3
we,PRON,3
you,PRON,3
harry,PROPN,3
your,PRON,3
a,DET,3
?,PUNCT,3
lies,VERB,2
fool,NOUN,2
again,ADV,2
in,ADP,2
stone,NOUN,2
live,VERB,2
together,ADV,2
too,ADV,2
give,VERB,2
for,ADP,2
but,CCONJ,2
what,PRON,2
do,VERB,2
an,DET,1
stop,VERB,1
parasite,NOUN,1
suffer,VERB,1
parents,NOUN,1
strength,NOUN,1
potter,PROPN,1
pocket,NOUN,1
another,PRON,1
power,NOUN,1
return,NOUN,1
speak,VERB,1
sustain,VERB,1
survive,VERB,1
things,NOUN,1
tell,VERB,1
've,AUX,1
's,AUX,1
yes,INTJ,1
would,AUX,1
why,SCONJ,1
when,SCONJ,1
weak,ADJ,1
use,VERB,1
all,PRON,1
unicorn,ADJ,1
to,ADP,1
those,PRON,1
this,PRON,1
only,ADV,1
them,PRON,1
own,ADJ,1
bravery,NOUN,1
off,ADP,1
of,ADP,1
blood,NOUN,1
he,PRON,1
have,VERB,1
body,NOUN,1
haha,PROPN,1
had,VERB,1
good,ADJ,1
get,VERB,1
father,NOUN,1
extraordinary,ADJ,1
evil,ADJ,1
enough,ADV,1
enough,ADJ,1
do,AUX,1
death,NOUN,1
conveniently,ADV,1
boy,NOUN,1
horrific,ADJ,1
become,VERB,1
is,AUX,1
meet,VERB,1
not,PART,1
bring,VERB,1
n't,PART,1
my,PRON,1
must,AUX,1
mother,NOUN,1
mere,ADJ,1
ask,VERB,1
be,AUX,1
like,VERB,1
'll,AUX,1
let,VERB,1
kill,VERB,1
just,ADV,1
join,VERB,1
back,ADV,1
no,DET,1
