Token,POS,Frequency
.,PUNCT,72
",",PUNCT,68
the,DET,32
i,PRON,32
to,PART,25
you,PRON,23
it,PRON,19
a,DET,18
!,PUNCT,17
n't,PART,16
of,ADP,13
?,PUNCT,12
was,AUX,11
and,CCONJ,10
in,ADP,10
be,AUX,10
me,PRON,10
can,AUX,9
is,AUX,8
my,PRON,7
's,PART,7
harry,PROPN,7
your,PRON,7
that,PRON,6
see,VERB,6
for,ADP,6
would,AUX,6
she,PRON,6
but,CCONJ,5
do,AUX,5
what,PRON,5
'll,AUX,5
have,VERB,5
ginny,NOUN,5
we,PRON,4
yes,INTJ,4
if,SCONJ,4
's,AUX,4
that,SCONJ,4
hagrid,PROPN,4
to,ADP,4
who,PRON,4
knew,VERB,4
still,ADV,4
will,AUX,4
wo,AUX,4
do,VERB,4
only,ADV,4
no,INTJ,4
this,PRON,4
dumbledore,PROPN,3
potter,NOUN,3
there,PRON,3
they,PRON,3
diary,NOUN,3
think,VERB,3
good,ADJ,3
on,ADP,3
had,VERB,3
live,VERB,3
now,ADV,3
name,NOUN,3
again,ADV,3
memory,NOUN,3
meet,VERB,3
lord,PROPN,3
little,ADJ,3
something,PRON,3
let,VERB,3
-,PUNCT,3
is,VERB,3
how,SCONJ,3
power,NOUN,3
he,PRON,3
him,PRON,3
girl,NOUN,3
with,ADP,3
voldemort,PROPN,3
basilisk,NOUN,3
an,DET,3
mother,NOUN,2
hogwarts,NOUN,2
stop,VERB,2
told,VERB,2
been,AUX,2
mudbloods,NOUN,2
very,ADV,2
fool,NOUN,2
able,ADJ,2
find,VERB,2
school,NOUN,2
another,PRON,2
sir,PROPN,2
give,VERB,2
go,VERB,2
father,NOUN,2
going,VERB,2
stone,NOUN,2
greatest,ADJ,2
stand,VERB,2
speak,VERB,2
hagrid,ADJ,2
slytherin,PROPN,2
her,PRON,2
salazar,PROPN,2
so,ADV,2
body,NOUN,2
'm,AUX,2
mere,ADJ,2
have,AUX,2
silly,ADJ,2
were,AUX,2
one,NUM,2
while,SCONJ,2
dead,ADJ,2
decided,VERB,2
day,NOUN,2
lies,VERB,2
aside,ADV,2
against,ADP,2
alive,ADJ,2
did,AUX,2
when,SCONJ,2
old,ADJ,2
kill,VERB,2
person,NOUN,2
doing,VERB,2
all,PRON,2
parents,NOUN,2
nothing,PRON,2
ca,AUX,2
not,PART,2
just,ADV,2
too,ADV,2
no,DET,2
make,VERB,2
extraordinary,ADJ,2
new,ADJ,2
together,ADV,2
chamber,NOUN,2
word,NOUN,1
say,VERB,1
seemed,VERB,1
scar,NOUN,1
scare,VERB,1
wizard,NOUN,1
wizards,NOUN,1
secrets,NOUN,1
save,VERB,1
tomorrow,NOUN,1
work,NOUN,1
professor,NOUN,1
persuasive,ADJ,1
pets,NOUN,1
pocket,NOUN,1
poor,ADJ,1
years,NOUN,1
potter,PROPN,1
powers,NOUN,1
present,ADJ,1
preserved,VERB,1
year,NOUN,1
preserving,VERB,1
process,NOUN,1
wrote,VERB,1
samnathas,VERB,1
professor,PROPN,1
professor,VERB,1
quickly,ADV,1
really,ADV,1
remarkable,ADJ,1
responsible,ADJ,1
self,NOUN,1
return,NOUN,1
return,VERB,1
world,NOUN,1
rumours,NOUN,1
safe,ADJ,1
why,SCONJ,1
sir-,NOUN,1
selithaine,PROPN,1
sends,VERB,1
survive,VERB,1
sustain,VERB,1
talent,NOUN,1
talk,VERB,1
target,NOUN,1
tell,VERB,1
than,ADP,1
that,DET,1
very,ADJ,1
venom,NOUN,1
their,PRON,1
them,PRON,1
use,VERB,1
then,ADV,1
until,SCONJ,1
unicorn,ADJ,1
turn,VERB,1
trust,NOUN,1
thing,NOUN,1
true,ADJ,1
things,NOUN,1
tried,VERB,1
this,DET,1
those,PRON,1
threatening,ADJ,1
time,NOUN,1
trance,NOUN,1
surely,ADV,1
sure,ADJ,1
suppose,VERB,1
weak,ADJ,1
set,VERB,1
sethae-,X,1
shall,AUX,1
shearhas,PROPN,1
should,AUX,1
show,VERB,1
well,ADV,1
weasley,PROPN,1
sixteen,NUM,1
slaughtered,VERB,1
weaker,ADJ,1
so,CCONJ,1
watch,NOUN,1
suffer,VERB,1
so,SCONJ,1
songbird,NOUN,1
soon,ADV,1
sorcerer,NOUN,1
wand,NOUN,1
walls,NOUN,1
wake,VERB,1
past,NOUN,1
voldemort,NOUN,1
stopped-,X,1
strength,NOUN,1
stronger,ADJ,1
penetrates,VERB,1
after,ADP,1
parseltongue,PROPN,1
parasite,NOUN,1
daughter,NOUN,1
damage,NOUN,1
could,AUX,1
conveniently,ADV,1
complete,ADJ,1
come,VERB,1
close,VERB,1
close,ADJ,1
cistem,PROPN,1
certainly,ADV,1
cease,VERB,1
caught-,ADJ,1
cat,NOUN,1
castle,NOUN,1
capture,NOUN,1
